ID,Book,Rating,num_rating
182,"Home, Tom Abrahams",liked it,32
182,"Dracula, Bram Stoker",it was amazing,32
182,"Dry, Neal Shusterman",liked it,32
182,"Black Water, D.J. MacHale",really liked it,32
182,"1984, George Orwell",it was amazing,32
182,"Brave New World, Aldous Huxley",really liked it,32
182,"Armada, Ernest Cline",liked it,32
185,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,12
185,"Einstein's Dreams, Alan Lightman",it was amazing,12
185,"A Christmas Carol, Charles Dickens",liked it,12
185,"When You Reach Me, Rebecca Stead",liked it,12
185,"Virgins, Diana Gabaldon",it was amazing,12
185,"Possession, Elana Johnson",it was amazing,12
191,"Lamb: The Gospel According to Biff, Christ's Childhood Pal, Christopher Moore",liked it,2
192,"The Genocides, Thomas M. Disch",liked it,49
